order_id,order_date,customer_id,product_id,quantity,discount_pct,net_sales,profit,sales_channel,payment_method,order_status
50001,2025-09-11,1003,2002,3,0.0,4200.0,3444.0,Retail Store,Credit Card,Completed
50002,2025-01-15,1007,2004,1,0.15,8075.0,6650.0,Retail Store,Credit Card,Completed
50003,2025-04-28,1010,2001,4,0.1,223200.0,193440.0,Marketplace,UPI,Completed
50004,2025-11-29,1006,2001,1,0.0,62000.0,54560.0,Marketplace,UPI,Completed
50005,2025-09-28,1007,2004,4,0.0,38000.0,32300.0,Online,Credit Card,Completed
50006,2025-12-13,9999,2004,3,0.05,27075.0,22800.0,Online,Credit Card,Completed
50007,2025-04-06,1005,2001,4,0.0,248000.0,218240.0,Marketplace,Debit Card,Completed
50008,2025-09-17,1005,2002,3,0.15,3570.0,2814.0,Marketplace,UPI,Completed
50009,2025-09-16,1005,2005,5,0.15,78625.0,65675.0,Retail Store,Debit Card,Completed
50010,2025-08-01,1001,2008,2,0.15,1105.0,780.0,Marketplace,UPI,Completed
50011,2025-12-06,1006,2006,1,0.15,12325.0,10005.0,Marketplace,UPI,Completed
50012,2025-01-16,1003,2007,3,0.15,8160.0,6144.0,Retail Store,UPI,Completed
50013,2025-09-15,1005,2007,2,0.05,6080.0,4736.0,Online,UPI,Completed
50014,2025-10-23,1004,2004,4,0.1,34200.0,28500.0,Retail Store,Credit Card,Completed
50015,2025-09-23,1005,2001,4,0.05,235600.0,205840.0,Marketplace,UPI,Completed
50016,2025-10-19,1007,9999,4,0.1,223200.0,193440.0,Marketplace,UPI,Completed
50017,2025-08-01,1009,2007,4,0.1,11520.0,8832.0,Retail Store,UPI,Completed
50018,2025-04-28,1009,2006,4,0.0,58000.0,48720.0,Marketplace,UPI,Completed
50019,2025-01-17,1009,2003,1,0.1,3780.0,2940.0,Marketplace,UPI,Completed
50020,2025-05-24,1002,2001,4,0.0,248000.0,218240.0,Online,Credit Card,Completed
50021,2025-02-05,1002,2003,3,0.1,11340.0,8820.0,Online,UPI,Completed
50022,2025-08-21,1005,2003,3,0.1,11340.0,8820.0,Marketplace,Credit Card,Completed
50023,2025-06-09,1008,2008,1,0.0,650.0,487.5,Retail Store,Credit Card,Completed
50024,2025-05-10,1007,2004,3,0.0,28500.0,24225.0,Marketplace,Debit Card,Completed
50025,2025-01-10,1004,2007,1,0.05,3040.0,2368.0,Retail Store,UPI,Completed
50026,2025-10-06,1001,2003,1,0.15,14280.0,10920.0,Online,Debit Card,Completed
50027,2025-07-22,1009,2008,2,0.0,1300.0,975.0,Marketplace,Debit Card,Completed
50028,2025-03-06,1006,2007,1,0.1,2880.0,2208.0,Online,UPI,Completed
50029,2025-06-02,1005,2002,1,0.1,1260.0,1008.0,Marketplace,UPI,Completed
50030,2025-10-15,1007,2005,2,0.0,37000.0,31820.0,Online,Debit Card,Completed
50031,2025-07-13,1004,2008,2,0.0,1300.0,975.0,Online,Credit Card,Completed
50032,2025-10-30,1002,2004,5,0.15,40375.0,33250.0,Online,Credit Card,Completed
50033,2025-01-09,1002,2007,3,0.15,8160.0,6144.0,Retail Store,Debit Card,Completed
50034,2025-04-13,1007,2005,1,0.05,17575.0,14985.0,Retail Store,Debit Card,Completed
50035,2025-05-17,1003,2006,4,0.05,55100.0,45820.0,Marketplace,UPI,Completed
50036,2025-09-30,1007,2006,5,0.15,0.0,50025.0,Online,UPI,Completed
50037,2025-03-27,1001,2002,2,0.05,2660.0,2156.0,Marketplace,UPI,Completed
50038,2025-07-08,1005,2006,5,0.1,65250.0,53650.0,Retail Store,Credit Card,Completed
50039,2025-03-11,1002,2005,2,0.15,31450.0,26270.0,Marketplace,Debit Card,Completed
50040,2025-02-07,1002,2006,1,0.15,12325.0,10005.0,Retail Store,UPI,Completed
50041,2025-02-09,1003,2006,1,0.15,12325.0,10005.0,Marketplace,Debit Card,Completed
50042,2025-06-01,1004,2002,3,0.1,3780.0,3024.0,Marketplace,Debit Card,Completed
50043,2025-01-24,1002,2008,3,0.0,1950.0,1462.5,Retail Store,UPI,Completed
50044,2025-02-28,1010,2001,1,0.15,52700.0,45260.0,Online,UPI,Completed
50045,2025-08-19,1004,2007,2,0.0,6400.0,5056.0,Online,Debit Card,Completed
50046,2025-07-13,1004,2003,1,0.15,3570.0,2730.0,Marketplace,Unknown,Completed
50047,2025-02-21,1009,2005,4,0.1,66600.0,56240.0,Online,Debit Card,Completed
50048,2025-06-01,1006,2001,1,0.0,62000.0,54560.0,Marketplace,Debit Card,Completed
50049,2025-07-24,1006,2008,4,0.1,2340.0,1690.0,Online,UPI,Completed
50050,2025-04-21,1006,2008,1,0.1,585.0,422.5,Marketplace,Debit Card,Completed
50051,2025-10-05,1008,2006,3,0.05,41325.0,34365.0,Online,Credit Card,Completed
50052,2025-05-24,1004,2004,3,0.0,28500.0,24225.0,Online,Credit Card,Completed
50053,2025-06-07,1002,2006,2,0.15,24650.0,20010.0,Online,Credit Card,Completed
50054,2025-05-06,1003,2006,5,0.1,65250.0,53650.0,Retail Store,UPI,Completed
50055,2025-01-11,1009,2002,2,0.05,2660.0,2156.0,Online,Credit Card,Completed
50056,2025-02-08,1002,2005,5,0.0,92500.0,79550.0,Online,Debit Card,Completed
50057,2025-08-29,1001,2005,3,0.15,47175.0,39405.0,Online,UPI,Completed
50058,2025-04-02,1009,2006,1,0.05,13775.0,11455.0,Online,UPI,Completed
50059,2025-03-06,1006,2005,1,0.1,16650.0,14060.0,Online,UPI,Completed
50060,2025-04-02,1009,2001,3,0.05,176700.0,154380.0,Retail Store,Credit Card,Completed
50061,2025-05-10,1009,2003,1,0.05,3990.0,3150.0,Online,Debit Card,Completed
50062,2025-10-05,1008,2007,5,0.1,14400.0,11040.0,Retail Store,Debit Card,Completed
50063,2025-03-29,1008,2001,4,0.1,223200.0,193440.0,Retail Store,Credit Card,Completed
50064,2025-02-01,1001,2007,5,0.0,16000.0,12640.0,Marketplace,Credit Card,Completed
50065,2025-03-12,1010,2003,5,0.05,19950.0,15750.0,Retail Store,Credit Card,Completed
50066,2025-04-30,1007,2007,2,0.0,6400.0,5056.0,Retail Store,UPI,Completed
50067,2025-12-18,1003,2006,5,0.15,61625.0,50025.0,Marketplace,Debit Card,Completed
50068,2025-12-18,1004,2004,3,0.15,24225.0,19950.0,Retail Store,UPI,Completed
50069,2025-11-27,1007,2006,5,0.1,65250.0,53650.0,Online,UPI,Completed
50070,2025-06-09,1002,2006,2,0.05,27550.0,22910.0,Retail Store,Debit Card,Completed
50071,2025-11-01,1005,2006,2,0.15,24650.0,20010.0,Online,UPI,Completed
50072,2025-05-09,1010,2007,2,0.05,6080.0,4736.0,Retail Store,UPI,Completed
50073,2025-11-23,1010,2001,4,0.15,210800.0,181040.0,Retail Store,Credit Card,Completed
50074,2025-09-26,1009,2003,5,0.0,21000.0,16800.0,Online,Credit Card,Completed
50075,2025-11-12,1002,2005,1,0.05,17575.0,14985.0,Marketplace,Debit Card,Completed
50076,2025-08-10,1002,2008,2,0.15,1105.0,780.0,Retail Store,UPI,Completed
50077,2025-04-19,1006,2008,2,0.15,1105.0,780.0,Online,Credit Card,Completed
50078,2025-05-23,1010,2007,1,0.1,2880.0,2208.0,Online,Credit Card,Completed
50079,2025-10-24,1009,2001,2,0.15,105400.0,90520.0,Online,UPI,Completed
50080,2025-03-30,1010,2004,3,0.05,27075.0,22800.0,Retail Store,UPI,Completed
50081,2025-10-27,1009,2004,3,0.1,25650.0,21375.0,Retail Store,Debit Card,Completed
50082,2025-09-09,1008,2003,5,0.1,18900.0,14700.0,Retail Store,UPI,Completed
50083,2025-02-25,1004,2007,2,0.1,5760.0,4416.0,Online,UPI,Completed
50084,2025-12-12,1010,2001,5,0.1,279000.0,241800.0,Marketplace,Debit Card,Completed
50085,2025-10-21,1003,2002,5,0.1,6300.0,5040.0,Retail Store,Credit Card,Completed
50086,2025-01-01,1009,2006,5,0.1,65250.0,53650.0,Online,Credit Card,Completed
50087,2025-06-23,1008,2006,3,0.15,36975.0,30015.0,Marketplace,Debit Card,Completed
50088,2025-07-15,1010,2008,1,0.15,552.5,390.0,Online,Debit Card,Completed
50089,2025-08-25,1001,2005,5,0.05,87875.0,74925.0,Marketplace,Debit Card,Completed
50090,2025-11-14,1007,2005,2,0.15,31450.0,26270.0,Marketplace,Debit Card,Completed
50091,2025-12-14,1004,2006,5,0.0,72500.0,60900.0,Retail Store,Debit Card,Completed
50092,2025-09-10,1007,2007,3,0.0,9600.0,7584.0,Marketplace,UPI,Completed
50093,2025-11-21,1005,2001,4,0.05,235600.0,205840.0,Retail Store,Credit Card,Completed
50094,2025-06-28,1003,2002,5,0.0,7000.0,5740.0,Retail Store,Debit Card,Completed
50095,2025-05-13,1007,2005,2,0.15,31450.0,26270.0,Retail Store,UPI,Completed
50096,2025-10-30,1008,2001,3,0.0,186000.0,163680.0,Retail Store,UPI,Completed
50097,2025-03-26,1006,2002,4,0.0,5600.0,4592.0,Marketplace,Debit Card,Completed
50098,2025-11-06,1003,2002,4,0.1,5040.0,4032.0,Retail Store,UPI,Completed
50099,2025-05-18,1009,2004,2,0.1,17100.0,14250.0,Online,UPI,Completed
50100,2025-03-28,1009,2006,4,0.0,58000.0,48720.0,Retail Store,Debit Card,Completed
50101,2025-07-20,1009,2005,3,0.05,52725.0,44955.0,Marketplace,Credit Card,Completed
50102,2025-04-24,1003,2008,3,0.1,1755.0,1267.5,Retail Store,Debit Card,Completed
50103,2025-06-12,1004,2001,5,0.15,263500.0,226300.0,Retail Store,UPI,Completed
50104,2025-10-24,1005,2004,1,0.05,9025.0,7600.0,Retail Store,Debit Card,Completed
50105,2025-03-12,1003,2005,4,0.05,70300.0,59940.0,Online,Debit Card,Completed
50106,2025-05-04,1008,2006,3,0.15,36975.0,30015.0,Online,Debit Card,Completed
50107,2025-04-27,1004,2005,1,0.0,18500.0,15910.0,Retail Store,Credit Card,Completed
50108,2025-01-29,1008,2002,2,0.0,2800.0,2296.0,Marketplace,UPI,Completed
50109,2025-06-25,1004,2001,4,0.15,210800.0,181040.0,Marketplace,Credit Card,Completed
50110,2025-07-24,1002,2003,1,0.05,3990.0,3150.0,Online,Credit Card,Completed
50111,2025-05-01,1008,2007,2,0.05,6080.0,4736.0,Retail Store,Credit Card,Completed
50112,2025-05-13,1009,2007,2,0.15,5440.0,4096.0,Retail Store,Credit Card,Completed
50113,2025-01-24,1010,2002,2,0.0,2800.0,2296.0,Online,UPI,Completed
50114,2025-04-11,1008,2006,4,0.1,52200.0,42920.0,Retail Store,UPI,Completed
50115,2025-03-16,1003,2001,1,0.15,52700.0,45260.0,Marketplace,Debit Card,Completed
50116,2025-02-10,1001,2007,3,0.05,9120.0,7104.0,Retail Store,Debit Card,Completed
50117,2025-09-26,1005,2001,1,0.0,62000.0,54560.0,Online,UPI,Completed
50118,2025-04-08,1005,2002,4,0.0,5600.0,4592.0,Online,Credit Card,Completed
50119,2025-07-19,1003,2005,2,0.15,31450.0,26270.0,Retail Store,Debit Card,Completed
50120,2025-01-31,1005,2005,2,0.05,35150.0,29970.0,Marketplace,Debit Card,Completed
50121,2025-06-30,1003,2006,4,0.0,58000.0,48720.0,Marketplace,Credit Card,Completed
50122,2025-12-06,1009,2004,5,0.15,40375.0,33250.0,Online,Debit Card,Completed
50123,2025-02-19,1005,2002,3,0.05,3990.0,3234.0,Online,UPI,Completed
50124,2025-11-23,1004,2007,1,0.0,3200.0,2528.0,Online,Debit Card,Completed
50125,2025-01-21,1008,2006,1,0.1,13050.0,10730.0,Online,Debit Card,Completed
50126,2025-12-29,1001,2008,2,0.15,1105.0,780.0,Retail Store,UPI,Completed
50127,2025-06-16,1009,2005,1,0.1,16650.0,14060.0,Online,Credit Card,Completed
50128,2025-06-10,1001,2007,1,0.1,2880.0,2208.0,Marketplace,UPI,Completed
50129,2025-02-18,1005,2007,1,0.1,2880.0,2208.0,Retail Store,UPI,Completed
50130,2025-09-18,1009,2004,3,0.1,25650.0,21375.0,Retail Store,Debit Card,Completed
50131,2025-09-26,1008,2002,2,0.15,2380.0,1876.0,Marketplace,Debit Card,Completed
50132,2025-04-13,1010,2001,3,0.05,176700.0,154380.0,Retail Store,Credit Card,Completed
50133,2025-06-26,1009,2006,1,0.15,12325.0,10005.0,Online,Debit Card,Completed
50134,2025-08-02,1002,2001,3,0.1,167400.0,145080.0,Retail Store,Credit Card,Completed
50135,2025-09-27,1006,2005,3,0.0,55500.0,47730.0,Online,UPI,Completed
50136,2025-08-20,1006,2006,3,0.0,43500.0,36540.0,Retail Store,Credit Card,Completed
50137,2025-10-24,1008,2006,4,0.0,58000.0,48720.0,Online,UPI,Completed
50138,2025-05-06,1001,2008,5,0.1,2925.0,2112.5,Marketplace,Debit Card,Completed
50139,2025-06-07,1006,2006,3,0.15,36975.0,30015.0,Retail Store,Debit Card,Completed
50140,2025-05-09,1006,2003,1,0.05,3990.0,3150.0,Marketplace,UPI,Completed
50141,2025-07-30,1010,2003,1,0.05,3990.0,3150.0,Marketplace,Debit Card,Completed
50142,2025-02-24,1001,2002,5,0.1,6300.0,5040.0,Online,Credit Card,Completed
50143,2025-11-26,1002,2002,1,0.05,1330.0,1078.0,Online,Debit Card,Completed
50144,2025-09-07,1007,2001,5,0.1,279000.0,241800.0,Marketplace,Credit Card,Completed
50145,2025-05-01,1004,2004,5,0.15,40375.0,33250.0,Retail Store,Credit Card,Completed
50146,2025-05-12,1006,2004,4,0.0,38000.0,32300.0,Retail Store,UPI,Completed
50147,2025-02-09,1001,2007,5,0.15,13600.0,10240.0,Retail Store,Debit Card,Completed
50148,2025-08-23,1009,2007,1,0.1,2880.0,2208.0,Online,UPI,Completed
50149,2025-06-04,1005,2001,5,0.0,310000.0,272800.0,Marketplace,Debit Card,Completed
50150,2025-10-05,1006,2005,5,0.15,78625.0,65675.0,Marketplace,Credit Card,Completed
50151,2025-03-09,1010,2005,4,0.1,66600.0,56240.0,Marketplace,Credit Card,Completed
50152,2025-05-10,1010,2003,5,0.05,19950.0,15750.0,Marketplace,UPI,Completed
50153,2025-07-25,1007,2001,3,0.15,158100.0,135780.0,Retail Store,Debit Card,Completed
50154,2025-07-16,1001,2002,1,0.0,1400.0,1148.0,Retail Store,Credit Card,Completed
50155,2025-07-18,1005,2006,4,0.1,52200.0,42920.0,Retail Store,UPI,Completed
50156,2025-03-17,1008,2006,2,0.15,24650.0,20010.0,Online,UPI,Completed
50157,2025-07-31,1005,2006,2,0.1,26100.0,21460.0,Retail Store,Debit Card,Completed
50158,2025-06-21,1005,2007,3,0.15,8160.0,6144.0,Retail Store,UPI,Completed
50159,2025-02-02,1008,2007,4,0.0,12800.0,10112.0,Online,UPI,Completed
50160,2025-05-10,1003,2004,1,0.0,9500.0,8075.0,Online,Credit Card,Completed
50161,2025-02-15,1002,2007,2,0.0,6400.0,5056.0,Retail Store,Debit Card,Completed
50162,2025-06-27,1001,2004,5,0.15,40375.0,33250.0,Online,Debit Card,Completed
50163,2025-12-17,1002,2007,1,0.1,2880.0,2208.0,Retail Store,UPI,Completed
50164,2025-07-19,1008,2001,2,0.0,124000.0,109120.0,Online,Debit Card,Completed
50165,2025-07-21,1008,2005,5,0.15,78625.0,65675.0,Online,Debit Card,Completed
50166,2025-11-11,1008,2002,2,0.15,2380.0,1876.0,Marketplace,UPI,Completed
50167,2025-09-10,1003,2005,4,0.1,66600.0,56240.0,Marketplace,Debit Card,Completed
50168,2025-01-05,1004,2006,4,0.0,58000.0,48720.0,Marketplace,Debit Card,Completed
50169,2025-06-03,1006,2005,1,0.15,15725.0,13135.0,Online,UPI,Completed
50170,2025-07-30,1009,2005,3,0.05,52725.0,44955.0,Online,UPI,Completed
50171,2025-09-30,1005,2004,4,0.0,38000.0,32300.0,Marketplace,Debit Card,Completed
50172,2025-09-03,1003,2007,3,0.1,8640.0,6624.0,Marketplace,Credit Card,Completed
50173,2025-07-08,1005,2008,2,0.15,1105.0,780.0,Marketplace,Credit Card,Completed
50174,2025-10-25,1004,2006,2,0.05,27550.0,22910.0,Marketplace,Credit Card,Completed
50175,2025-09-28,1009,2003,1,0.1,3780.0,2940.0,Marketplace,UPI,Completed
50176,2025-09-03,1004,2006,5,0.15,61625.0,50025.0,Retail Store,UPI,Completed
50177,2025-02-15,1003,2003,3,0.05,11970.0,9450.0,Marketplace,Debit Card,Completed
50178,2025-10-16,1001,2003,1,0.05,3990.0,3150.0,Online,Debit Card,Completed
50179,2025-01-03,1010,2005,4,0.1,66600.0,56240.0,Online,Credit Card,Completed
50180,2025-05-24,1010,2004,1,0.05,9025.0,7600.0,Marketplace,Debit Card,Completed
